top - 15:59:45 up 5 days, 22:49,  1 user,  load average: 2.51, 2.21, 2.02
Tasks: 409 total,   1 running, 408 sleeping,   0 stopped,   0 zombie
%Cpu(s): 20.6 us, 12.7 sy,  0.0 ni, 66.7 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15638.5 total,    285.3 free,   6413.6 used,   8939.6 buff/cache
MiB Swap:   2048.0 total,   2012.7 free,     35.3 used.   7664.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2134 aren.ch+  20   0  275788  28988  15412 S   0.0   0.2   0:02.67 ibus-ex+
   2138 aren.ch+  20   0  197944  25592  15748 S   0.0   0.2   0:00.48 ibus-x11
   2141 aren.ch+  20   0  236656   7112   6316 S   0.0   0.0   0:01.27 ibus-po+
   2151 aren.ch+  20   0  162856   7280   6492 S   0.0   0.0   0:07.49 at-spi2+
   2155 aren.ch+  20   0  235620   4552   4108 S   0.0   0.0   0:00.03 xdg-per+
   2158 aren.ch+  20   0  738332  22596  16400 S   0.0   0.1   0:02.14 gnome-s+
   2166 aren.ch+  20   0 1082372  34012  24780 S   0.0   0.2   0:01.81 evoluti+
   2174 aren.ch+  20   0  156572   7648   5052 S   0.0   0.0   0:00.26 dconf-s+
   2177 aren.ch+  20   0  162356   6488   5732 S   0.0   0.0   0:02.04 gvfsd-m+
   2185 aren.ch+  20   0 1604600  47328  31048 S   0.0   0.3   0:08.60 evoluti+
   2198 aren.ch+  20   0  894748  28460  24604 S   0.0   0.2   0:00.68 evoluti+
   2219 aren.ch+  20   0 2733716  26404  21180 S   0.0   0.2   0:00.24 gjs
   2227 aren.ch+  20   0  314104   8112   6608 S   0.0   0.1   0:00.53 gvfsd-t+
   2238 aren.ch+  20   0  309728   6396   5796 S   0.0   0.0   0:00.24 gsd-a11+
   2239 aren.ch+  20   0  578508  27796  17388 S   0.0   0.2   0:01.69 gsd-col+
   2240 aren.ch+  20   0  373680  15568  13628 S   0.0   0.1   0:00.28 gsd-dat+
   2242 aren.ch+  20   0  311920   7368   6524 S   0.0   0.0   0:06.26 gsd-hou+
   2250 aren.ch+  20   0  428268  26460  16392 S   0.0   0.2   0:00.78 gsd-key+
   2253 aren.ch+  20   0 1630956  30208  18960 S   0.0   0.2   0:02.86 gsd-med+
   2254 aren.ch+  20   0  769272  29872  18904 S   0.0   0.2   0:02.53 gsd-pow+
   2256 aren.ch+  20   0  256756  10648   9208 S   0.0   0.1   0:00.31 gsd-pri+
   2257 aren.ch+  20   0  457124   5932   5328 S   0.0   0.0   0:00.62 gsd-rfk+
   2258 aren.ch+  20   0  235532   5908   5388 S   0.0   0.0   0:00.27 gsd-scr+
   2259 aren.ch+  20   0  465044  10776   8460 S   0.0   0.1   0:17.99 gsd-sha+
   2263 aren.ch+  20   0  462692   8192   7356 S   0.0   0.1   0:00.27 gsd-sma+
   2264 aren.ch+  20   0  319420   8848   7840 S   0.0   0.1   0:00.26 gsd-sou+
   2265 aren.ch+  20   0  458832   7056   6276 S   0.0   0.0   0:00.31 gsd-usb+
   2267 aren.ch+  20   0  345452  25628  15536 S   0.0   0.2   0:00.83 gsd-wac+
   2269 aren.ch+  20   0  387892   7592   6700 S   0.0   0.0   0:00.26 gsd-wwan
   2273 aren.ch+  20   0  346784  27536  16976 S   0.0   0.2   0:01.01 gsd-xse+
   2294 aren.ch+  20   0 1088168  74524  52548 S   0.0   0.5   0:03.15 evoluti+
   2301 aren.ch+  20   0  231824   5804   4764 S   0.0   0.0   0:00.07 gsd-dis+
   2336 aren.ch+  20   0  342208  14740  12848 S   0.0   0.1   0:00.23 gsd-pri+
   2347 aren.ch+  20   0 6756852 204420 101884 S   0.0   1.3   2:02.24 teams
   2356 aren.ch+  20   0  162720   6668   6040 S   0.0   0.0   0:01.33 ibus-en+
   2404 aren.ch+  20   0  204064  44376  36996 S   0.0   0.3   0:00.03 teams
   2405 aren.ch+  20   0  204064  44764  37368 S   0.0   0.3   0:00.13 teams
   2475 aren.ch+  20   0 1006548 101108  66188 S   0.0   0.6  39:54.71 teams
   2479 aren.ch+  20   0  797596  71616  54960 S   0.0   0.4   0:24.03 teams
   2509 aren.ch+  20   0 5385388  79348  63056 S   0.0   0.5   0:00.50 teams
   2523 aren.ch+  20   0  208732   9636   2216 S   0.0   0.1   0:00.00 teams
   2546 aren.ch+  20   0  914176  50952  42852 S   0.0   0.3   0:01.33 teams
   2571 aren.ch+  20   0 7089720 151804 111512 S   0.0   0.9   2:29.76 teams
   2595 root      20   0    7172   1684   1220 S   0.0   0.0   0:00.00 dbus-la+
   2598 aren.ch+  20   0  208736   9636   2220 S   0.0   0.1   0:00.00 teams
   2603 root      20   0   17352   2532   2148 S   0.0   0.0   0:00.00 dbus-da+
   2627 aren.ch+  20   0   33.0g 429612 219916 S   0.0   2.7  41:51.60 chrome
   2635 aren.ch+  20   0    8228    576    512 S   0.0   0.0   0:00.00 cat
   2636 aren.ch+  20   0    8228    516    452 S   0.0   0.0   0:00.00 cat
   2638 aren.ch+  20   0   32.0g   3496   3184 S   0.0   0.0   0:00.02 chrome_+
   2640 aren.ch+  20   0   32.0g   2932   2672 S   0.0   0.0   0:00.00 chrome_+
   2646 aren.ch+  20   0   32.3g  38800  27564 S   0.0   0.2   0:00.03 chrome
   2647 aren.ch+  20   0   32.3g  38708  27476 S   0.0   0.2   0:00.04 chrome
   2649 aren.ch+  20   0   32.0g   5148   4740 S   0.0   0.0   0:00.00 nacl_he+
   2652 aren.ch+  20   0   32.3g  15968   4596 S   0.0   0.1   0:03.83 chrome
   2674 aren.ch+  20   0  741428  10464   8616 S   0.0   0.1   0:04.14 xdg-des+
   2676 aren.ch+  20   0   32.8g 241600 150828 S   0.0   1.5  52:23.01 chrome
   2680 aren.ch+  20   0   32.4g 125780  75280 S   0.0   0.8  18:31.09 chrome
   2683 aren.ch+  20   0  604908   6164   5476 S   0.0   0.0   0:01.55 xdg-doc+
   2699 aren.ch+  20   0  493912  27128  17416 S   0.0   0.2   0:02.45 xdg-des+
   2701 aren.ch+  20   0   32.3g  52228  37472 S   0.0   0.3   0:19.74 chrome
   2744 aren.ch+  20   0 1129.9g  88888  72020 S   0.0   0.6   0:02.25 chrome
   2981 aren.ch+  20   0   32.6g  65604  53488 S   0.0   0.4  15:09.94 chrome
   3083 aren.ch+  20   0 1129.9g 139560 108344 S   0.0   0.9   1:39.86 chrome
   3156 aren.ch+  20   0  427856  32500  22912 S   0.0   0.2   0:03.11 update-+
   3873 aren.ch+  20   0  388032   8204   7012 S   0.0   0.1   0:01.03 gvfsd-n+
   3886 aren.ch+  20   0  315136   8384   7124 S   0.0   0.1   0:00.78 gvfsd-d+
   4746 aren.ch+  20   0   36.9g 168496 119000 S   0.0   1.1   1:23.16 code
   4751 aren.ch+  20   0   32.2g  47836  39364 S   0.0   0.3   0:00.04 code
   4752 aren.ch+  20   0   32.2g  46944  38620 S   0.0   0.3   0:00.03 code
   4754 aren.ch+  20   0   32.2g   8376      8 S   0.0   0.1   0:00.00 code
   4767 aren.ch+  20   0   32.0g   3032   2776 S   0.0   0.0   0:00.01 chrome_+
   4782 aren.ch+  20   0   32.5g 120836  79184 S   0.0   0.8   2:48.68 code
   4793 aren.ch+  20   0   32.3g  65788  56240 S   0.0   0.4   0:05.81 code
   4809 aren.ch+  20   0   50.5g 187940 114004 S   0.0   1.2   1:01.34 code
   4837 aren.ch+  20   0   44.5g 145388 101676 S   0.0   0.9   0:52.35 code
   4850 aren.ch+  20   0   36.4g 148148  63940 S   0.0   0.9   0:30.59 code
   4863 aren.ch+  20   0   36.4g  85820  59024 S   0.0   0.5   0:23.70 code
   4911 aren.ch+  20   0   36.4g  75080  58516 S   0.0   0.5   0:08.54 code
   4912 aren.ch+  20   0  802784  84336   6128 S   0.0   0.5   0:57.68 terrafo+
   7255 root      20   0   29144   9628   7244 S   0.0   0.1   0:00.45 cupsd
   7256 root      20   0  179988  15852  10876 S   0.0   0.1   0:04.65 cups-br+
  23140 aren.ch+  20   0 1204608  53240  37460 S   0.0   0.3   0:01.38 gnome-c+
  23144 aren.ch+  20   0  542144  41064  24192 S   0.0   0.3   0:00.57 seahorse
  39668 aren.ch+  20   0 1131.9g 300756 119108 S   0.0   1.9   2:33.83 chrome
  41031 aren.ch+  20   0   43988   6336   5712 S   0.0   0.0   0:00.01 obexd
  47282 aren.ch+  20   0 1129.9g 268940 113080 S   0.0   1.7   4:19.98 chrome
  50346 aren.ch+  20   0 1130.9g 296268 126412 S   0.0   1.9   1:08.22 chrome
  50431 aren.ch+  20   0 1132.9g 156448 106932 S   0.0   1.0   0:10.55 chrome
  50644 aren.ch+  20   0 1134.0g 342404 133576 S   0.0   2.1   6:29.07 chrome
  51223 aren.ch+  20   0 1129.9g 141936 102020 S   0.0   0.9   0:33.61 chrome
  51254 aren.ch+  20   0 1129.9g  99640  77496 S   0.0   0.6   0:01.90 chrome
  51266 aren.ch+  20   0 1129.9g 119376  90968 S   0.0   0.7   0:15.31 chrome
  51278 aren.ch+  20   0 1129.9g 106012  80868 S   0.0   0.7   0:07.25 chrome
  51301 aren.ch+  20   0 1129.9g 101432  80492 S   0.0   0.6   0:02.06 chrome
  51305 aren.ch+  20   0 1129.9g  98196  75088 S   0.0   0.6   0:01.99 chrome
  51311 aren.ch+  20   0 1129.9g  98296  75916 S   0.0   0.6   0:01.89 chrome
  51320 aren.ch+  20   0 1129.9g  97904  75728 S   0.0   0.6   0:01.86 chrome
  51346 aren.ch+  20   0 1129.9g 101856  80428 S   0.0   0.6   0:02.25 chrome
  51355 aren.ch+  20   0 1129.9g  98252  75452 S   0.0   0.6   0:01.74 chrome
  51372 aren.ch+  20   0 1129.9g 112860  78620 S   0.0   0.7   0:03.50 chrome
  51735 aren.ch+  20   0 1686440 112324  47384 S   0.0   0.7   2:40.67 nautilus
  52339 aren.ch+  20   0   36.4g 135816  64376 S   0.0   0.8   0:23.11 code
  52348 aren.ch+  20   0   36.4g  76216  58748 S   0.0   0.5   0:01.81 code
  52390 aren.ch+  20   0  735608  37088  12532 S   0.0   0.2   1:14.26 terrafo+
  54015 aren.ch+  20   0 1129.9g 202152 115480 S   0.0   1.3   0:57.04 chrome
  54140 aren.ch+  20   0   19580   5784   3992 S   0.0   0.0   0:00.09 bash
  54248 aren.ch+  20   0  279836  10448   9096 S   0.0   0.1   0:00.03 gvfsd-h+
  54395 aren.ch+  20   0 1129.9g 183704 111112 S   0.0   1.1   0:26.94 chrome
  57007 aren.ch+  20   0   19580   5716   3924 S   0.0   0.0   0:00.09 bash
  58999 aren.ch+  20   0 1129.9g  95624  76704 S   0.0   0.6   0:01.72 chrome
  59091 aren.ch+  20   0  841904  50712  37856 S   0.0   0.3   0:17.73 gnome-t+
  59099 aren.ch+  20   0   19560   5636   3928 S   0.0   0.0   0:00.12 bash
  60558 aren.ch+  20   0 1129.9g  97500  78296 S   0.0   0.6   0:04.53 chrome
  60619 aren.ch+  20   0 1129.9g 131728  96152 S   0.0   0.8   0:04.39 chrome
  84021 root      20   0 1431188  47092  33412 S   0.0   0.3   0:10.38 contain+
  95391 root      20   0 1777312  82800  55072 S   0.0   0.5   0:14.65 dockerd
 101783 root      20   0  246912  34620  26508 S   0.0   0.2   0:00.52 apache2
 101786 www-data  20   0  257616  14268   6104 S   0.0   0.1   0:00.00 apache2
 101787 www-data  20   0  257616  14256   6092 S   0.0   0.1   0:00.00 apache2
 101788 www-data  20   0  257616  14256   6092 S   0.0   0.1   0:00.00 apache2
 101789 www-data  20   0  257616  14256   6092 S   0.0   0.1   0:00.00 apache2
 101790 www-data  20   0  257616  14276   6112 S   0.0   0.1   0:00.00 apache2
 117982 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
 117983 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru+
 117987 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsIO
 117988 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsComm+
 117989 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsComm+
 117990 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsComm+
 117991 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsComm+
 117992 root      20   0       0      0      0 S   0.0   0.0   0:00.00 jfsSync
 118571 aren.ch+  20   0 1129.9g  97172  79120 S   0.0   0.6   0:01.04 chrome
 120058 root      20   0 1230608   3152   2388 S   0.0   0.0   0:00.01 docker-+
 120072 root      20   0 1156620   3284   2508 S   0.0   0.0   0:00.00 docker-+
 120085 root      20   0 1083144   3468   2692 S   0.0   0.0   0:00.01 docker-+
 120097 root      20   0 1230352   3332   2556 S   0.0   0.0   0:00.01 docker-+
 120111 root      20   0 1304340   3388   2616 S   0.0   0.0   0:00.39 docker-+
 120126 root      20   0  720756   9124   7120 S   0.0   0.1   0:01.04 contain+
